year_month,reason,count
2020-07,It contains irrelevant information that is not useful,49
2020-07,It contains promotional materials,31
2020-07,"It contains threats, lewdness or hate speech",89
2020-07,It violates ApartmentRatings' privacy standards,60
2020-07,"It was posted by a competitor, ex-employee or evicted resident",176
2020-07,It was posted by someone affiliated with the community,71
2020-07,It's for the wrong community,47
2020-08,It contains false information,105
2020-08,It contains irrelevant information that is not useful,21
2020-08,It contains promotional materials,25
2020-08,"It contains threats, lewdness or hate speech",81
2020-08,It violates ApartmentRatings' privacy standards,52
2020-08,"It was posted by a competitor, ex-employee or evicted resident",62
2020-08,It was posted by someone affiliated with the community,40
2020-08,It's for the wrong community,28
2020-09,It contains false information,83
2020-09,It contains irrelevant information that is not useful,11
2020-09,It contains promotional materials,151
2020-09,"It contains threats, lewdness or hate speech",142
2020-09,It violates ApartmentRatings' privacy standards,62
2020-09,"It was posted by a competitor, ex-employee or evicted resident",84
2020-09,It was posted by someone affiliated with the community,33
2020-09,It's for the wrong community,24
2020-10,It contains false information,95
2020-10,It contains irrelevant information that is not useful,26
2020-10,It contains promotional materials,104
2020-10,"It contains threats, lewdness or hate speech",85
2020-10,It violates ApartmentRatings' privacy standards,64
2020-10,"It was posted by a competitor, ex-employee or evicted resident",61
2020-10,It was posted by someone affiliated with the community,110
2020-10,It's for the wrong community,28
2020-11,It contains false information,111
2020-11,It contains irrelevant information that is not useful,22
2020-11,It contains promotional materials,11
2020-11,"It contains threats, lewdness or hate speech",75
2020-11,It violates ApartmentRatings' privacy standards,54
2020-11,"It was posted by a competitor, ex-employee or evicted resident",49
2020-11,It was posted by someone affiliated with the community,41
2020-11,It's for the wrong community,28
2020-12,It contains false information,91
2020-12,It contains irrelevant information that is not useful,10
2020-12,It contains promotional materials,41
2020-12,"It contains threats, lewdness or hate speech",87
2020-12,It violates ApartmentRatings' privacy standards,81
2020-12,"It was posted by a competitor, ex-employee or evicted resident",61
2020-12,It was posted by someone affiliated with the community,55
2020-12,It's for the wrong community,14
2021-01,It contains false information,97
2021-01,It contains irrelevant information that is not useful,29
2021-01,It contains promotional materials,11
2021-01,"It contains threats, lewdness or hate speech",105
2021-01,It violates ApartmentRatings' privacy standards,97
2021-01,"It was posted by a competitor, ex-employee or evicted resident",64
2021-01,It was posted by someone affiliated with the community,36
2021-01,It's for the wrong community,25
2021-02,It contains false information,272
2021-02,It contains irrelevant information that is not useful,24
2021-02,It contains promotional materials,16
2021-02,"It contains threats, lewdness or hate speech",78
2021-02,It violates ApartmentRatings' privacy standards,61
2021-02,"It was posted by a competitor, ex-employee or evicted resident",130
2021-02,It was posted by someone affiliated with the community,43
2021-02,It's for the wrong community,55
2021-03,It contains false information,126
2021-03,It contains irrelevant information that is not useful,27
2021-03,It contains promotional materials,7
2021-03,"It contains threats, lewdness or hate speech",142
2021-03,It violates ApartmentRatings' privacy standards,132
2021-03,"It was posted by a competitor, ex-employee or evicted resident",102
2021-03,It was posted by someone affiliated with the community,85
2021-03,It's for the wrong community,28
2021-04,It contains false information,118
2021-04,It contains irrelevant information that is not useful,33
2021-04,It contains promotional materials,4
