class,rank,token,weight
It's influenced by COVID-19 / conavirus,11,trash,1.3439835163092495
It's influenced by COVID-19 / conavirus,12,broken,1.3076435553319055
It's influenced by COVID-19 / conavirus,13,road,1.2927804875110616
It's influenced by COVID-19 / conavirus,14,2020,1.2829603687208069
It's influenced by COVID-19 / conavirus,15,completed,1.2755220243868568
It's influenced by COVID-19 / conavirus,16,informed,1.2747306069189048
It's influenced by COVID-19 / conavirus,17,19,1.2601319569888356
It's influenced by COVID-19 / conavirus,18,citra,1.2423984045505667
It's influenced by COVID-19 / conavirus,19,taken,1.2404525307311527
It's influenced by COVID-19 / conavirus,20,simple,1.2392656836700386
It's influenced by COVID-19 / conavirus,21,requests,1.2322268448647187
It's influenced by COVID-19 / conavirus,22,casey,1.2275730472085193
It's influenced by COVID-19 / conavirus,23,lakeside,1.2073410532032658
It's influenced by COVID-19 / conavirus,24,garage,1.1981410057655777
It's influenced by COVID-19 / conavirus,25,offer,1.1693455633261822
Other,1,nan,5.6231976466403015
Other,2,trestles,-4.0814994414501004e-12
Other,3,ers,-1.0218522411303617e-11
Other,4,brighton,-2.9974191777746015e-08
Other,5,thorburn,-4.1570836887731626e-08
Other,6,attendents,-7.18429369142588e-08
Other,7,zaybastian,-7.27300648132428e-08
Other,8,hyland,-8.168942766819519e-08
Other,9,respondents,-1.0449858808532445e-07
Other,10,wyvernwood,-1.2121677468873712e-07
Other,11,llcs,-1.333558543755497e-07
Other,12,orland,-1.35001491458232e-07
Other,13,torree,-1.6026379956669442e-07
Other,14,mayors,-1.6395483460893074e-07
Other,15,heirlooms,-1.9217788277590998e-07
Other,16,ryder,-2.791694049579906e-07
Other,17,grandaughter,-2.873717476570352e-07
Other,18,foley,-3.2203894508434106e-07
Other,19,jailene,-3.2329321611415225e-07
Other,20,keirsten,-4.376155070399829e-07
Other,21,latrobe,-4.415937954318189e-07
Other,22,8300,-4.759771680072191e-07
Other,23,deidre,-5.147358915773053e-07
Other,24,keystone,-6.119761460741323e-07
Other,25,taa,-8.301757270346181e-07
nan,1,nan,5.623274426175055
nan,2,trestles,-7.519989934082375e-12
nan,3,ers,-2.691339943274154e-11
nan,4,thorburn,-4.3931800073323336e-08
nan,5,brighton,-4.452609749112059e-08
nan,6,attendents,-9.301060950307323e-08
nan,7,zaybastian,-1.0065452861336287e-07
nan,8,respondents,-1.2123002497493054e-07
nan,9,hyland,-1.2662604534188949e-07
nan,10,wyvernwood,-1.6775754768893113e-07
nan,11,llcs,-1.7336126677923113e-07
nan,12,orland,-1.9181905815349616e-07
nan,13,torree,-1.9613703481608363e-07
nan,14,mayors,-2.169088224033853e-07
nan,15,heirlooms,-2.2718605308708294e-07
nan,16,ryder,-3.155098669878675e-07
nan,17,foley,-3.6750986548282887e-07
nan,18,grandaughter,-3.7204243801229293e-07
nan,19,jailene,-4.185477427638178e-07
nan,20,keirsten,-5.465575854184523e-07
nan,21,latrobe,-5.507989560650855e-07
nan,22,keystone,-6.411935977579499e-07
nan,23,deidre,-6.420312595461853e-07
nan,24,8300,-6.479650912495496e-07
nan,25,taa,-9.019406505682793e-07
